"filename", "language", "Vue.js", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\15701\Desktop\ceshits\src\App.vue", "Vue.js", -1, 0, 0, 1, 0, 0
"c:\Users\15701\Desktop\ceshits\src\assets\styles\aboutView.css", "CSS", 0, 0, 563, 15, 93, 671
"c:\Users\15701\Desktop\ceshits\src\assets\styles\messages.css", "CSS", 0, 0, 213, 7, 34, 254
"c:\Users\15701\Desktop\ceshits\src\assets\styles\notification-indicator.css", "CSS", 0, 0, -3, 0, 0, -3
"c:\Users\15701\Desktop\ceshits\src\assets\styles\previewother.css", "CSS", 0, 0, 854, 19, 148, 1021
"c:\Users\15701\Desktop\ceshits\src\assets\styles\profileView.css", "CSS", 0, 0, -11, 12, 0, 1
"c:\Users\15701\Desktop\ceshits\src\components\TopBar.vue", "Vue.js", 2, 0, 0, 0, 0, 2
"c:\Users\15701\Desktop\ceshits\src\components\preview\PreviewDayCard.vue", "Vue.js", 235, 0, 0, 20, 35, 290
"c:\Users\15701\Desktop\ceshits\src\components\preview\PreviewDetailModal.vue", "Vue.js", 233, 0, 0, 15, 24, 272
"c:\Users\15701\Desktop\ceshits\src\composables\useAuth.ts", "TypeScript", 0, 0, 0, 23, 0, 23
"c:\Users\15701\Desktop\ceshits\src\composables\useMessages.ts", "TypeScript", 0, 118, 0, 26, 25, 169
"c:\Users\15701\Desktop\ceshits\src\composables\useNotifications.ts", "TypeScript", 0, 46, 0, 12, 11, 69
"c:\Users\15701\Desktop\ceshits\src\router\index.ts", "TypeScript", 0, 12, 0, 0, 0, 12
"c:\Users\15701\Desktop\ceshits\src\stores\user.ts", "TypeScript", 0, -49, 0, 68, -6, 13
"c:\Users\15701\Desktop\ceshits\src\views\AboutView.vue", "Vue.js", 664, 0, 0, 26, 62, 752
"c:\Users\15701\Desktop\ceshits\src\views\ChatView.vue", "Vue.js", 12, 0, 0, 2, 4, 18
"c:\Users\15701\Desktop\ceshits\src\views\FeedbackView.vue", "Vue.js", 562, 0, 0, 34, 85, 681
"c:\Users\15701\Desktop\ceshits\src\views\NotificationsView.vue", "Vue.js", -26, 0, 0, 2, -1, -25
"c:\Users\15701\Desktop\ceshits\src\views\PreviewView.vue", "Vue.js", -68, 0, 0, -8, -14, -90
"c:\Users\15701\Desktop\ceshits\src\views\ProfileView.vue", "Vue.js", 2, 0, 0, 0, 0, 2
"Total", "-", 1615, 127, 1616, 274, 500, 4132
